T,Alt,Veloc,FAlt,FVeloc,LDA,LowV,Apogee,N-O,Drogue,Main
10.30,5628.00,500.00,5541.61,431.93,0,0,0,0,0,0
10.35,5647.00,380.00,5562.69,421.54,0,0,0,0,0,0
10.40,5669.00,440.00,5583.95,425.23,0,0,0,0,0,0
10.45,5694.00,500.00,5605.96,440.20,0,0,0,0,0,0
10.50,5711.00,340.00,5626.97,420.16,0,0,0,0,0,0
10.55,5730.00,380.00,5647.58,412.12,0,0,0,0,0,0
10.60,5753.00,460.00,5668.66,421.70,0,0,0,0,0,0
10.65,5770.00,340.00,5688.93,405.36,0,0,0,0,0,0
10.70,5793.00,460.00,5709.74,416.29,0,0,0,0,0,0
10.75,5811.00,360.00,5729.99,405.03,0,0,0,0,0,0
10.80,5830.00,380.00,5750.00,400.02,0,0,0,0,0,0
10.85,5851.00,420.00,5770.20,404.01,0,0,0,0,0,0
10.90,5872.00,420.00,5790.56,407.22,0,0,0,0,0,0
10.95,5891.00,380.00,5810.65,401.77,0,0,0,0,0,0
11.00,5911.00,400.00,5830.72,401.42,0,0,0,0,0,0
11.05,5931.00,400.00,5850.77,401.13,0,0,0,0,0,0
11.10,5947.00,320.00,5870.02,384.91,0,0,0,0,0,0
11.15,5965.00,360.00,5889.01,379.92,0,0,0,0,0,0
11.20,5984.00,380.00,5908.01,379.94,0,0,0,0,0,0
11.25,6005.00,420.00,5927.41,387.95,0,0,0,0,0,0
11.30,6024.00,380.00,5946.73,386.37,0,0,0,0,0,0
11.35,6042.00,360.00,5965.78,381.09,0,0,0,0,0,0
11.40,6060.00,360.00,5984.63,376.88,0,0,0,0,0,0
11.45,6082.00,440.00,6004.10,389.49,0,0,0,0,0,0
11.50,6098.00,320.00,6022.88,375.60,0,0,0,0,0,0
11.55,6115.00,340.00,6041.30,368.48,0,0,0,0,0,0
11.60,6133.00,360.00,6059.64,366.79,0,0,0,0,0,0
11.65,6153.00,400.00,6078.31,373.43,0,0,0,0,0,0
11.70,6175.00,440.00,6097.65,386.74,0,0,0,0,0,0
11.75,6190.00,300.00,6116.12,369.39,0,0,0,0,0,0
11.80,6206.00,320.00,6134.10,359.51,0,0,0,0,0,0
11.85,6223.00,340.00,6151.88,355.62,0,0,0,0,0,0
11.90,6241.00,360.00,6169.70,356.48,0,0,0,0,0,0
11.95,6260.00,380.00,6187.76,361.19,0,0,0,0,0,0
12.00,6276.00,320.00,6205.41,352.95,0,0,0,0,0,0
12.05,6294.00,360.00,6223.13,354.37,0,0,0,0,0,0
12.10,6313.00,380.00,6241.10,359.49,0,0,0,0,0,0
12.15,6330.00,340.00,6258.88,355.60,0,0,0,0,0,0
12.20,6346.00,320.00,6276.31,348.48,0,0,0,0,0,0
12.25,6359.00,260.00,6292.84,330.78,0,0,0,0,0,0
12.30,6380.00,420.00,6310.28,348.62,0,0,0,0,0,0
12.35,6396.00,320.00,6327.42,342.90,0,0,0,0,0,0
12.40,6412.00,320.00,6344.34,338.32,0,0,0,0,0,0
12.45,6433.00,420.00,6362.07,354.65,0,0,0,0,0,0
12.50,6449.00,320.00,6379.46,347.72,0,0,0,0,0,0
12.55,6461.00,240.00,6395.76,326.18,0,0,0,0,0,0
12.60,6481.00,400.00,6412.81,340.94,0,0,0,0,0,0
12.65,6497.00,320.00,6429.65,336.76,0,0,0,0,0,0
12.70,6513.00,320.00,6446.32,333.40,0,0,0,0,0,0
12.75,6527.00,280.00,6462.46,322.72,0,0,0,0,0,0
12.80,6544.00,340.00,6478.76,326.18,0,0,0,0,0,0
12.85,6558.00,280.00,6494.61,316.94,0,0,0,0,0,0
12.90,6573.00,300.00,6510.29,313.55,0,0,0,0,0,0
12.95,6589.00,320.00,6526.03,314.84,0,0,0,0,0,0
13.00,6605.00,320.00,6541.83,315.87,0,0,0,0,0,0
13.05,6619.00,280.00,6557.26,308.70,0,0,0,0,0,0
13.10,6634.00,300.00,6572.61,306.96,0,0,0,0,0,0
13.15,6651.00,340.00,6588.29,313.56,0,0,0,0,0,0
13.20,6665.00,280.00,6603.63,306.86,0,0,0,0,0,0
13.25,6682.00,340.00,6619.30,313.49,0,0,0,0,0,0
13.30,6695.00,260.00,6634.44,302.78,0,0,0,0,0,0
13.35,6712.00,340.00,6649.95,310.22,0,0,0,0,0,0
13.40,6724.00,240.00,6664.76,296.18,0,0,0,0,0,0
13.45,6740.00,320.00,6679.81,300.95,0,0,0,0,0,0
13.50,6754.00,280.00,6694.65,296.76,0,0,0,0,0,0
13.55,6770.00,320.00,6709.72,301.41,0,0,0,0,0,0
13.60,6785.00,300.00,6724.77,301.12,0,0,0,0,0,0
13.65,6799.00,280.00,6739.62,296.90,0,0,0,0,0,0
13.70,6813.00,280.00,6754.30,293.52,0,0,0,0,0,0
13.75,6824.00,220.00,6768.24,278.82,0,0,0,0,0,0
13.80,6843.00,380.00,6783.19,299.05,0,0,0,0,0,0
13.85,6853.00,200.00,6797.15,279.24,0,0,0,0,0,0
13.90,6869.00,320.00,6811.52,287.39,0,0,0,0,0,0
13.95,6883.00,280.00,6825.82,285.92,0,0,0,0,0,0
14.00,6895.00,240.00,6839.65,276.73,0,0,0,0,0,0
14.05,6910.00,300.00,6853.72,281.39,0,0,0,0,0,0
14.10,6921.00,220.00,6867.18,269.11,0,0,0,0,0,0
14.15,6932.00,220.00,6880.14,259.29,0,0,0,0,0,0
14.20,6948.00,320.00,6893.71,271.43,0,0,0,0,0,0
14.25,6961.00,260.00,6907.17,269.14,0,0,0,0,0,0
14.30,6975.00,280.00,6920.74,271.32,0,0,0,0,0,0
14.35,6986.00,220.00,6933.79,261.05,0,0,0,0,0,0
14.40,7004.00,360.00,6947.83,280.84,0,0,0,0,0,0
14.45,7014.00,200.00,6961.07,264.68,0,0,0,0,0,0
14.50,7027.00,260.00,6974.25,263.74,0,0,0,0,0,0
14.55,7038.00,220.00,6987.00,254.99,0,0,0,0,0,0
14.60,7054.00,320.00,7000.40,267.99,0,0,0,0,0,0
14.65,7062.00,160.00,7012.72,246.40,0,0,0,0,0,0
14.70,7077.00,300.00,7025.58,257.12,0,0,0,0,0,0
14.75,7091.00,280.00,7038.66,261.69,0,0,0,0,0,0
14.80,7102.00,220.00,7051.33,253.35,0,0,0,0,0,0
14.85,7115.00,260.00,7064.06,254.69,0,0,0,0,0,0
14.90,7123.00,160.00,7075.85,235.74,0,0,0,0,0,0
14.95,7140.00,340.00,7088.68,256.60,0,0,0,0,0,0
15.00,7153.00,260.00,7101.54,257.28,0,0,0,0,0,0
15.05,7161.00,160.00,7113.44,237.82,0,0,0,0,0,0
